"Country","Code","Year","","","","","Total"
"India","IND","1858","0","394488","","0","394488"
"India","IND","1859","0","636486","","0","636486"
"India","IND","1860","0","643116","","0","643116"
"India","IND","1861","0","497254","","0","497254"
"India","IND","1862","0","550295","","0","550295"
"India","IND","1863","0","609965","","0","609965"
"India","IND","1864","0","576815","","0","576815"
"India","IND","1865","0","566870","","0","566870"
"India","IND","1866","0","639801","","0","639801"
"India","IND","1878","0","1766911","","0","1766911"
"India","IND","1879","73280","1611104","","0","1684384"
"India","IND","1880","109920","1776856","","0","1886776"
"India","IND","1881","99108","1740228","","0","1839336"
"India","IND","1882","227168","1969127","","0","2196295"
"India","IND","1883","150224","2290685","","0","2440909"
"India","IND","1884","296784","2433231","","0","2730015"
"India","IND","1885","205184","2254220","","0","2459404"
"India","IND","1886","355408","2416656","","0","2772064"
"India","IND","1887","344040","2721979","","0","3066019"
"India","IND","1888","435587","2973969","","0","3409556"
"India","IND","1889","633872","3387960","","0","4021832"
"India","IND","1890","655856","3775818","","0","4431674"
"India","IND","1891","718144","4054281.2","","0","4772425.2"
"India","IND","1892","831195","4416101","","0","5247296"
"India","IND","1893","1083883","4459312","","0","5543195"
"India","IND","1894","707152","4909558","","0","5616710"
"India","IND","1895","872448","6162263","","0","7034711"
"India","IND","1896","905407","6702628","","0","7608035"
"India","IND","1897","1172480","7080902","","0","8253382"
"India","IND","1898","1102459","8022736.5","","0","9125195.5"
"India","IND","1899","1183472","8871018","","0","10054490"
"India","IND","1900","1275072","10654504","","0","11929576"
"India","IND","1901","1626816","11552876","","0","13179692"
"India","IND","1902","1589809","12925630","","0","14515439"
"India","IND","1903","1850320","12951819","","0","14802139"
"India","IND","1904","2253360","14307666","","0","16561026"
"India","IND","1905","2271680","14659059","","0","16930739"
"India","IND","1906","2513504","17035934","","0","19549438"
"India","IND","1907","2359616","19412810","","0","21772426"
"India","IND","1908","2671056","22237216","","0","24908272"
"India","IND","1909","3473472","20669206","","0","24142678"
"India","IND","1910","2509840","20977504","","0","23487344"
"India","IND","1911","2638080","22144394","","0","24782474"
"India","IND","1912","2912880","25608600","","0","28521480"
"India","IND","1913","3242640","28224158","","0","31466798"
"India","IND","1914","3026783","28671398","","0","31698181"
"India","IND","1915","3356224","29785538","","0","33141762"
"India","IND","1916","3473125","30044422","","0","33517547"
"India","IND","1917","3304928","31714884","","0","35019812"
"India","IND","1918","3271952","36087410","","0","39359362"
"India","IND","1919","3572122","39402690","","0","42974812"
"India","IND","1920","3590720","31277300","","0","34868020"
"India","IND","1921","3891168","33614396","","0","37505564"
"India","IND","1922","3799223","33104190","","0","36903413"
"India","IND","1923","3740944","34230990","","0","37971934"
"India","IND","1924","3748581","36879420","","0","40628001"
"India","IND","1925","3685677","36399300","","0","40084977"
"India","IND","1926","3374544","36568084","","0","39942628"
"India","IND","1927","3429504","38454340","","0","41883844"
"India","IND","1928","527616","39256576","288820","0","40073012"
"India","IND","1929","633872","40781490","292571","0","41707933"
"India","IND","1930","655856","41451124","292571","0","42399551"
"India","IND","1931","736464","37814536","300073","0","38851073"
"India","IND","1932","732800","35092900","303823","0","36129523"
"India","IND","1933","688832","34459730","318827","0","35467389"
"India","IND","1934","809744","38411244","390094","0","39611082"
"India","IND","1935","857376","40082016","453860","0","41393252"
"India","IND","1936","809744","39375916","498871","0","40684531"
"India","IND","1937","886688","43599264","581391","0","45067343"
"India","IND","1938","1022256","49357468","0","0","50379724"
"India","IND","1939","952704","48359588","0","0","49312292"
"India","IND","1940","1132176","51177416","0","0","52309592"
"India","IND","1941","1187136","51310020","1084012","0","53581168"
"India","IND","1942","1143168","51253664","1132774","0","53529606"
"India","IND","1943","1121264","44427880","1095343","0","46644487"
"India","IND","1944","1139584","45498640","1057830","0","47696054"
"India","IND","1945","970960","50792876","1110268","0","52874104"
"India","IND","1946","897680","50322144","1005242.94","0","52225066.94"
"India","IND","1947","762160","51667956","750228","0","53180344"
"India","IND","1948","769440","51628260","806445","0","53204145"
"India","IND","1949","776768","54323384","1087763","0","56187915"
"India","IND","1950","7188768","52559788","1354077","0","61102633"
"India","IND","1951","7851952","54512340","1657901","0","64022193"
"India","IND","1952","7562119","58030010","1834102","0","67426231"
"India","IND","1953","7679744","59067188","1957973","0","68704905"
"India","IND","1954","9541056","60592104","2280551","0","72413711"
"India","IND","1955","12750720","63711544","2325562","0","78787826"
"India","IND","1956","13945184","65156900","2554367","0","81656451"
"India","IND","1957","15894432","72837820","2903202","0","91635454"
"India","IND","1958","16842814","75818664","3154401","0","95815879"
"India","IND","1959","18386566","79523576","3537223","0","101447365"
"India","IND","1960","19444848","87878104","4002216.8","0","111325168.8"
"India","IND","1961","21310422","94885430","4204885","3664","120404401"
"India","IND","1962","24885252","103260510","4380947","10992","132537701"
"India","IND","1963","27106272","110420300","4771153","10992","142308717"
"India","IND","1964","28121886","105924380","4943815","21985","139012066"
"India","IND","1965","30814920","116456230","5397674","282134","152950958"
"India","IND","1966","35676370","116984060","5569961","311440","158541831"
"India","IND","1967","32697536","119095736","5820807","487312","158101391"
"India","IND","1968","42249584","123826280","5872180","751120","172699164"
"India","IND","1969","45350200","123367864","6438390","996627","176153081"
"India","IND","1970","49332096","123551140","6494620","923328","180301184"
"India","IND","1971","55442660","126966664","7052059","1084525","190545908"
"India","IND","1972","58877810","134376980","7363109","1205476","201823375"
"India","IND","1973","61749390","137809090","6920663","1168816","207647959"
"India","IND","1974","60628210","145639170","6500907","1359344","214127631"
"India","IND","1975","61838228","161338180","7288268","1733097","232197773"
"India","IND","1976","63438496","168920620","8279465.5","2293664","242932245.5"
"India","IND","1977","68557100","177509860","8322332.5","2480528","256869820.5"
"India","IND","1978","75317180","174688770","8420936","2740672","261167558"
"India","IND","1979","82663500","180622690","7751954","3030128","274068272"
"India","IND","1980","83176460","197337060","7544839","2487856","290546215"
"India","IND","1981","89713040","210305460","8887727","2883568","311789795"
"India","IND","1982","94406620","213123220","9676066","4360160","321566066"
"India","IND","1983","99169820","232519460","10950501","5243184","347882965"
"India","IND","1984","106104776","231492910","12592760","6170118","356360564"
"India","IND","1985","116759680","253289250","14389872","7199698","391638500"
"India","IND","1986","121857310","273171650","16005568","10310496","421345024"
"India","IND","1987","127671120","291856300","16411638","12776272","448715330"
"India","IND","1988","133615080","317172030","18228972","15205600","484221682"
"India","IND","1989","150714020","339625900","20790914","18517738","529648572"
"India","IND","1990","158166610","366514080","22347914","21097188","568125792"
"India","IND","1991","166422540","393043140","24503036","23563184","607531900"
"India","IND","1992","188054800","411415000","25156198","27256496","651882494"
"India","IND","1993","186878660","433121820","26602354","26996352","673599186"
"India","IND","1994","198955200","455720350","28540080","28996896","712212526"
"India","IND","1995","216281280","471723170","31103788","39050736","758158974"
"India","IND","1996","243160340","504498900","34079364","39746908","821485512"
"India","IND","1997","244201940","527722780","37418160","46023504","855366384"
"India","IND","1998","262892000","524125980","39026470","47595360","873639810"
"India","IND","1999","300510080","560528300","44592480","42315536","947946396"
"India","IND","2000","312286560","572876800","45957012","43872736","974993108"
"India","IND","2001","316115260","582083460","46739660","43568932","988507312"
"India","IND","2002","324587840","598598140","49111236","47133696","1019430912"
"India","IND","2003","329936700","625890750","50880076","49987950","1056695476"
"India","IND","2004","347518100","669968600","55544668","49584750","1122616118"
"India","IND","2005","351646180","721469700","59686570","50438624","1183241074"
"India","IND","2006","368891170","773565400","64905404","49442016","1256803990"
"India","IND","2007","391027800","842478200","68333260","52695650","1354534910"
"India","IND","2008","412316320","910796500","73244730","63046600","1459404150"
"India","IND","2009","431609920","983948200","81267960","112684770","1609510850"
"India","IND","2010","438373470","1015983100","86029240","134244240","1674630050"
"India","IND","2011","458909220","1089807100","91314500","136364240","1776395060"
"India","IND","2012","488554140","1244606100","100237160","125604800","1959002200"
"India","IND","2013","495642140","1319998700","107819840","110689224","2034149904"
"India","IND","2014","511166240","1447354900","115824900","109467496","2183813536"
"India","IND","2015","554788740","1487461400","117507910","106870630","2266628680"
"India","IND","2016","613165500","1529990400","123281310","113622460","2380059670"
"India","IND","2017","631087400","1560988200","121047240","118922010","2432044850"
"India","IND","2018","655190340","1677600400","138964900","126201224","2597956864"
"India","IND","2019","674011460","1677653600","143664140","128675990","2624005190"
"India","IND","2020","603602200","1588060200","122908200","127635384","2442205984"
"India","IND","2021","622148160","1802312000","149001250","133450810","2706912220"
